Account Number,Annual Income ($1000),Household Size,Years of Post-High School Education,Hours Per Week Watching Television,Age,Gender (Assigned at Birth),Exceeded Credit Limit in Past 12 Months?,Annual Charges ($),,,,,,,,,,,Deviations from mean
27186018,123.5,3.0,2.0,41.0,63,Female,No,10742.15,,,,,,,,,,,10742.15
25944181,123.5,2.0,0.0,29.0,40,Female,No,3490.56,,,,,,,,,,,3490.56
29429534,123.4,5.0,1.0,12.0,62,Female,No,17070.80,,,,,,,,,,,17070.80
6101923,123.4,3.0,4.0,49.0,49,Female,No,874.41,,,,,,,,,,,874.41
14995462,123.4,1.0,2.0,26.0,51,Male,No,4974.55,,,,,,,,,,,4974.55
3034485,123.3,3.0,4.0,56.0,28,Female,Yes,15742.73,,,,,,,,,,,15742.73
14497613,123.1,7.0,0.0,18.0,30,Male,No,9199.38,,,,,,,,,,,9199.38
1653114,123.1,7.0,4.0,40.0,48,Female,No,16966.78,,,,,,,,,,,16966.78
15982419,123.1,1.0,3.0,36.0,60,Male,No,0.00,,,,,,,,,,,0.00
13122131,123.0,5.0,1.0,10.0,59,Female,No,12269.11,,,,,,,,,,,12269.11
29416507,122.9,7.0,3.0,30.0,57,Female,Yes,12189.83,,,,,,,,,,,12189.83
19826540,122.6,6.0,4.0,34.0,50,Male,No,3211.60,,,,,,,,,,,3211.60
23912034,122.6,3.0,5.0,50.0,42,Male,No,15906.89,,,,,,,,,,,15906.89
22227523,122.5,2.0,2.0,9.0,51,Male,No,19535.96,,,,,,,,,,,19535.96
5481221,122.5,6.0,3.0,59.0,42,Male,No,22651.98,,,,,,,,,,,22651.98
1552548,122.5,2.0,4.0,27.0,41,Male,Yes,13785.76,,,,,,,,,,,13785.76
6470048,122.3,2.0,4.0,17.0,37,Male,No,10559.04,,,,,,,,,,,10559.04
25487931,122.3,2.0,3.0,43.0,27,Female,No,11414.29,,,,,,,,,,,11414.29
25007131,122.3,2.0,3.0,6.0,48,Male,No,10717.49,,,,,,,,,,,10717.49
6568944,122.3,2.0,4.0,11.0,55,Male,Yes,8335.26,,,,,,,,,,,8335.26
6455160,122.2,7.0,1.0,2.0,43,Male,Yes,15452.70,,,,,,,,,,,15452.70
16014897,122.1,5.0,5.0,47.0,44,Male,No,11002.96,,,,,,,,,,,11002.96
17814563,122.1,4.0,2.0,14.0,55,Male,No,19451.41,,,,,,,,,,,19451.41
11443767,122.0,4.0,5.0,25.0,43,Male,Yes,19186.77,,,,,,,,,,,19186.77
28375031,121.9,8.0,3.0,59.0,45,Male,No,17269.26,,,,,,,,,,,17269.26
15967543,121.8,5.0,0.0,36.0,46,Male,No,10374.60,,,,,,,,,,,10374.60
24035991,121.8,2.0,3.0,22.0,44,Female,No,7100.11,,,,,,,,,,,7100.11
2640129,121.7,1.0,4.0,41.0,39,Male,No,0.00,,,,,,,,,,,0.00
27069259,121.5,2.0,3.0,57.0,26,Female,No,15122.05,,,,,,,,,,,15122.05
1716370,121.3,5.0,3.0,24.0,44,Male,No,22067.02,,,,,,,,,,,22067.02
6740574,121.3,3.0,5.0,51.0,45,Male,Yes,11123.51,,,,,,,,,,,11123.51
16904952,121.3,6.0,2.0,49.0,32,Female,No,12083.96,,,,,,,,,,,12083.96
4820296,121.1,6.0,0.0,36.0,36,Female,No,13614.23,,,,,,,,,,,13614.23
15176396,121.1,2.0,3.0,40.0,34,Female,No,0.00,,,,,,,,,,,0.00
2533454,121.0,8.0,2.0,59.0,52,Male,Yes,18483.68,,,,,,,,,,,18483.68
16790273,120.9,5.0,1.0,55.0,36,Male,No,12071.37,,,,,,,,,,,12071.37
28054301,120.9,5.0,4.0,46.0,39,Male,No,0.00,,,,,,,,,,,0.00
10206351,120.9,7.0,1.0,57.0,41,Male,No,18469.47,,,,,,,,,,,18469.47
28421385,120.9,6.0,1.0,45.0,43,Female,No,16850.23,,,,,,,,,,,16850.23
3348962,120.9,8.0,1.0,5.0,56,Male,No,15385.82,,,,,,,,,,,15385.82
7887894,120.8,7.0,1.0,32.0,47,Male,No,22115.26,,,,,,,,,,,22115.26
2214342,120.7,3.0,4.0,35.0,57,Female,No,0.00,,,,,,,,,,,0.00
14259159,120.7,7.0,5.0,4.0,32,Female,No,733.30,,,,,,,,,,,733.30
4646074,120.6,4.0,1.0,1.0,41,Female,No,23703.03,,,,,,,,,,,23703.03
1780092,120.5,5.0,4.0,20.0,44,Male,No,8180.70,,,,,,,,,,,8180.70
16313800,120.4,1.0,0.0,21.0,47,Male,No,10065.50,,,,,,,,,,,10065.50
10125132,120.4,3.0,1.0,54.0,33,Male,No,10110.61,,,,,,,,,,,10110.61
11065808,120.4,7.0,2.0,39.0,43,Male,No,1831.48,,,,,,,,,,,1831.48
3361747,120.4,5.0,2.0,3.0,43,Female,No,8507.31,,,,,,,,,,,8507.31
19820027,120.4,3.0,4.0,38.0,43,Male,No,6776.17,,,,,,,,,,,6776.17
20977364,120.4,4.0,3.0,11.0,34,Female,No,23609.10,,,,,,,,,,,23609.10
15171096,120.3,7.0,0.0,6.0,51,Male,No,6643.43,,,,,,,,,,,6643.43
7972824,120.2,1.0,1.0,5.0,37,Male,No,8533.67,,,,,,,,,,,8533.67
22689265,120.1,8.0,4.0,33.0,43,Female,No,4885.98,,,,,,,,,,,4885.98
22596549,120.0,7.0,2.0,57.0,41,Female,No,7256.53,,,,,,,,,,,7256.53
4690743,119.9,8.0,4.0,1.0,41,Male,No,14980.84,,,,,,,,,,,14980.84
29540159,119.8,5.0,5.0,57.0,33,Male,No,13574.76,,,,,,,,,,,13574.76
27334786,119.8,3.0,2.0,58.0,37,Male,Yes,16494.31,,,,,,,,,,,16494.31
1157829,119.7,2.0,1.0,19.0,45,Female,No,8563.20,,,,,,,,,,,8563.20
20466474,119.6,4.0,2.0,53.0,61,Female,No,12183.08,,,,,,,,,,,12183.08
10315180,119.6,4.0,3.0,46.0,40,Female,Yes,12579.73,,,,,,,,,,,12579.73
21421097,119.5,6.0,3.0,53.0,55,Male,No,10089.02,,,,,,,,,,,10089.02
11409800,119.5,3.0,5.0,21.0,33,Male,No,4751.92,,,,,,,,,,,4751.92
19144052,119.5,4.0,4.0,33.0,46,Male,Yes,15505.66,,,,,,,,,,,15505.66
23887312,119.4,2.0,5.0,44.0,40,Male,No,12924.75,,,,,,,,,,,12924.75
9339989,119.4,7.0,5.0,16.0,63,Female,No,21855.16,,,,,,,,,,,21855.16
26825633,119.3,5.0,2.0,51.0,34,Female,No,12321.39,,,,,,,,,,,12321.39
6370873,119.3,3.0,4.0,46.0,27,Female,No,9642.69,,,,,,,,,,,9642.69
11898332,119.3,7.0,0.0,43.0,43,Female,No,2793.13,,,,,,,,,,,2793.13
25950666,119.2,2.0,5.0,50.0,48,Female,No,19172.41,,,,,,,,,,,19172.41
3691035,119.2,8.0,4.0,47.0,43,Male,No,8648.89,,,,,,,,,,,8648.89
9017267,119.2,1.0,5.0,7.0,37,Male,No,20998.90,,,,,,,,,,,20998.90
12604097,119.1,2.0,4.0,33.0,62,Female,No,7789.87,,,,,,,,,,,7789.87
5364010,119.1,7.0,5.0,5.0,37,Female,No,11345.04,,,,,,,,,,,11345.04
11614563,119.1,3.0,3.0,32.0,49,Female,No,19539.80,,,,,,,,,,,19539.80
5364429,119.1,3.0,0.0,37.0,21,Male,No,16778.16,,,,,,,,,,,16778.16
27966373,119.1,5.0,2.0,7.0,41,Female,No,4750.30,,,,,,,,,,,4750.30
7169046,118.8,4.0,3.0,23.0,29,Female,No,14612.67,,,,,,,,,,,14612.67
6604608,118.7,6.0,4.0,39.0,46,Male,No,22781.38,,,,,,,,,,,22781.38
17485929,118.6,2.0,0.0,15.0,32,Male,No,10945.93,,,,,,,,,,,10945.93
11108099,118.5,7.0,4.0,42.0,32,Female,No,8445.67,,,,,,,,,,,8445.67
8783277,118.4,7.0,4.0,20.0,58,Female,No,6523.48,,,,,,,,,,,6523.48
22386048,118.4,2.0,1.0,1.0,39,Male,No,15610.54,,,,,,,,,,,15610.54
11910983,118.4,8.0,5.0,15.0,33,Female,No,7159.41,,,,,,,,,,,7159.41
12403389,118.3,5.0,4.0,35.0,30,Male,No,8062.19,,,,,,,,,,,8062.19
3462500,118.3,2.0,3.0,17.0,46,Female,No,8918.14,,,,,,,,,,,8918.14
21311106,118.3,5.0,5.0,23.0,51,Female,No,6842.60,,,,,,,,,,,6842.60
17225837,118.3,2.0,1.0,45.0,52,Male,No,4130.92,,,,,,,,,,,4130.92
28381633,118.3,2.0,4.0,52.0,42,Male,No,14561.36,,,,,,,,,,,14561.36
11128055,118.3,1.0,1.0,57.0,58,Female,Yes,1898.68,,,,,,,,,,,1898.68
10592247,118.3,4.0,0.0,49.0,53,Male,Yes,10031.33,,,,,,,,,,,10031.33
21344014,118.1,5.0,4.0,4.0,54,Male,Yes,1466.52,,,,,,,,,,,1466.52
858023,118.1,5.0,4.0,59.0,32,Male,No,18957.15,,,,,,,,,,,18957.15
17289872,117.9,1.0,3.0,1.0,55,Female,No,11952.30,,,,,,,,,,,11952.30
10071020,117.9,6.0,5.0,57.0,39,Female,No,13275.47,,,,,,,,,,,13275.47
10660681,117.9,5.0,2.0,40.0,33,Male,No,3159.05,,,,,,,,,,,3159.05
20912185,117.9,2.0,1.0,40.0,51,Female,No,3108.39,,,,,,,,,,,3108.39
17714166,117.8,8.0,1.0,27.0,43,Male,No,5896.83,,,,,,,,,,,5896.83
11359809,117.8,6.0,4.0,18.0,35,Male,No,11006.50,,,,,,,,,,,11006.50
13588645,117.7,1.0,4.0,2.0,58,Female,No,4114.64,,,,,,,,,,,4114.64
4182608,117.7,1.0,5.0,18.0,48,Male,No,9219.38,,,,,,,,,,,9219.38
25449976,117.7,6.0,3.0,46.0,59,Female,No,9390.09,,,,,,,,,,,9390.09
470034,117.7,2.0,5.0,5.0,64,Female,Yes,17582.56,,,,,,,,,,,17582.56
16100943,117.6,6.0,2.0,50.0,44,Male,No,8298.79,,,,,,,,,,,8298.79
24632777,117.6,6.0,0.0,53.0,29,Male,No,13740.12,,,,,,,,,,,13740.12
2863287,117.5,4.0,4.0,51.0,62,Male,No,4587.33,,,,,,,,,,,4587.33
24108493,117.5,8.0,2.0,54.0,57,Male,No,12782.06,,,,,,,,,,,12782.06
24032391,117.5,6.0,2.0,52.0,29,Male,No,5265.26,,,,,,,,,,,5265.26
27841690,117.3,6.0,5.0,47.0,46,Male,Yes,12695.32,,,,,,,,,,,12695.32
4217331,117.3,2.0,4.0,47.0,44,Female,No,3685.09,,,,,,,,,,,3685.09
8166299,117.3,3.0,0.0,48.0,62,Male,No,7987.56,,,,,,,,,,,7987.56
21519170,117.3,2.0,4.0,58.0,34,Male,No,10351.97,,,,,,,,,,,10351.97
15798021,117.2,3.0,4.0,26.0,29,Female,No,14772.21,,,,,,,,,,,14772.21
27027310,117.2,6.0,4.0,35.0,44,Male,No,7552.79,,,,,,,,,,,7552.79
3208474,117.2,1.0,2.0,8.0,39,Female,No,2837.82,,,,,,,,,,,2837.82
24068063,117.1,6.0,1.0,48.0,34,Male,No,15984.06,,,,,,,,,,,15984.06
27216781,117.1,5.0,3.0,31.0,61,Male,Yes,5810.08,,,,,,,,,,,5810.08
25922110,116.9,7.0,3.0,40.0,35,Male,Yes,10477.87,,,,,,,,,,,10477.87
12083473,116.9,4.0,4.0,55.0,55,Male,No,1449.12,,,,,,,,,,,1449.12
18642306,116.9,6.0,5.0,26.0,37,Male,No,2138.12,,,,,,,,,,,2138.12
15799821,116.8,2.0,0.0,51.0,61,Male,No,7246.56,,,,,,,,,,,7246.56
522469,116.7,4.0,1.0,39.0,58,Male,No,17852.38,,,,,,,,,,,17852.38
23326942,116.7,5.0,4.0,28.0,47,Male,Yes,11984.69,,,,,,,,,,,11984.69
24813663,116.7,2.0,4.0,48.0,35,Female,No,22902.99,,,,,,,,,,,22902.99
24614746,116.6,7.0,0.0,49.0,41,Female,No,15147.56,,,,,,,,,,,15147.56
27174609,116.6,7.0,2.0,39.0,48,Male,No,17303.67,,,,,,,,,,,17303.67
7975265,116.6,3.0,4.0,47.0,42,Female,No,10775.43,,,,,,,,,,,10775.43
29284445,116.5,5.0,1.0,7.0,52,Male,No,13999.94,,,,,,,,,,,13999.94
23835489,116.4,4.0,2.0,16.0,31,Female,No,16441.80,,,,,,,,,,,16441.80
19873471,116.4,3.0,2.0,18.0,54,Male,No,10458.18,,,,,,,,,,,10458.18
2832605,116.4,2.0,4.0,18.0,60,Female,No,0.00,,,,,,,,,,,0.00
28791886,116.3,7.0,1.0,6.0,48,Male,No,14866.00,,,,,,,,,,,14866.00
8946352,116.2,5.0,4.0,48.0,54,Male,No,9852.74,,,,,,,,,,,9852.74
9586093,116.2,5.0,2.0,35.0,34,Female,No,12869.99,,,,,,,,,,,12869.99
6064144,116.1,1.0,5.0,51.0,24,Male,No,21545.43,,,,,,,,,,,21545.43
16831983,116.1,4.0,4.0,24.0,39,Male,No,15874.78,,,,,,,,,,,15874.78
29898521,116.0,2.0,4.0,28.0,27,Male,No,17017.23,,,,,,,,,,,17017.23
12419195,116.0,4.0,3.0,9.0,34,Male,No,14199.55,,,,,,,,,,,14199.55
21170016,115.9,3.0,2.0,60.0,35,Male,No,16850.21,,,,,,,,,,,16850.21
23116435,115.8,6.0,5.0,14.0,64,Male,No,6409.73,,,,,,,,,,,6409.73
3879735,115.8,5.0,2.0,2.0,27,Female,No,20039.64,,,,,,,,,,,20039.64
4301232,115.8,5.0,2.0,13.0,59,Male,No,10378.60,,,,,,,,,,,10378.60
13830546,115.7,7.0,2.0,59.0,61,Female,No,9049.08,,,,,,,,,,,9049.08
7605648,115.7,4.0,1.0,12.0,45,Male,No,21751.39,,,,,,,,,,,21751.39
7802284,115.6,8.0,1.0,22.0,49,Female,Yes,3786.93,,,,,,,,,,,3786.93
23868893,115.6,1.0,3.0,9.0,38,Male,No,20751.65,,,,,,,,,,,20751.65
10234698,115.5,7.0,3.0,50.0,34,Female,No,13126.68,,,,,,,,,,,13126.68
25895270,115.5,4.0,4.0,28.0,46,Female,No,6059.91,,,,,,,,,,,6059.91
4865561,115.5,5.0,3.0,25.0,39,Male,No,3038.61,,,,,,,,,,,3038.61
2876697,115.4,7.0,2.0,9.0,37,Male,Yes,3586.19,,,,,,,,,,,3586.19
21086787,115.4,4.0,3.0,8.0,51,Male,No,19213.97,,,,,,,,,,,19213.97
14053343,115.4,3.0,1.0,7.0,43,Male,No,13159.00,,,,,,,,,,,13159.00
14868163,115.2,7.0,2.0,29.0,36,Female,No,21333.97,,,,,,,,,,,21333.97
18125641,115.2,7.0,5.0,52.0,46,Other,No,11322.26,,,,,,,,,,,11322.26
20596328,115.1,4.0,4.0,30.0,45,Female,No,18605.23,,,,,,,,,,,18605.23
23886945,115.1,5.0,5.0,31.0,37,Female,No,20828.19,,,,,,,,,,,20828.19
17613761,115.1,4.0,4.0,42.0,45,Male,No,25468.19,,,,,,,,,,,25468.19
20088003,115.1,3.0,4.0,10.0,39,Female,No,8418.40,,,,,,,,,,,8418.40
25081553,115.0,7.0,4.0,7.0,39,Male,No,14377.26,,,,,,,,,,,14377.26
8782240,115.0,3.0,5.0,1.0,30,Male,No,3749.18,,,,,,,,,,,3749.18
5915423,115.0,3.0,2.0,41.0,29,Male,No,17821.70,,,,,,,,,,,17821.70
27309256,115.0,8.0,3.0,19.0,40,Female,No,12559.63,,,,,,,,,,,12559.63
11516648,115.0,7.0,2.0,31.0,46,Male,No,9712.59,,,,,,,,,,,9712.59
15882749,114.9,6.0,1.0,10.0,47,Male,No,13417.85,,,,,,,,,,,13417.85
16552992,114.8,6.0,5.0,6.0,39,Female,No,10080.91,,,,,,,,,,,10080.91
21000261,114.8,1.0,3.0,53.0,47,Male,No,10307.28,,,,,,,,,,,10307.28
29265684,114.8,7.0,2.0,38.0,37,Male,No,14615.08,,,,,,,,,,,14615.08
5479388,114.8,3.0,4.0,29.0,53,Male,No,16331.89,,,,,,,,,,,16331.89
264488,114.8,2.0,3.0,3.0,42,Male,No,14177.98,,,,,,,,,,,14177.98
26794917,114.8,5.0,3.0,37.0,31,Female,No,12492.85,,,,,,,,,,,12492.85
23131363,114.8,4.0,2.0,13.0,43,Male,No,12645.27,,,,,,,,,,,12645.27
10867011,114.8,6.0,4.0,36.0,30,Male,No,2545.67,,,,,,,,,,,2545.67
20965615,114.8,3.0,4.0,30.0,54,Female,No,19509.03,,,,,,,,,,,19509.03
1471765,114.8,1.0,1.0,54.0,49,Female,No,2096.73,,,,,,,,,,,2096.73
10345179,114.7,5.0,5.0,15.0,43,Male,No,23.10,,,,,,,,,,,23.10
27230199,114.7,6.0,5.0,9.0,61,Female,No,15226.25,,,,,,,,,,,15226.25
18112326,114.6,6.0,1.0,48.0,37,Female,No,20111.46,,,,,,,,,,,20111.46
26113887,114.6,2.0,5.0,56.0,52,Male,No,17143.84,,,,,,,,,,,17143.84
26595273,114.5,7.0,4.0,56.0,47,Male,No,9019.30,,,,,,,,,,,9019.30
5142725,114.4,5.0,4.0,37.0,55,Male,No,0.00,,,,,,,,,,,0.00
9519933,114.4,7.0,5.0,12.0,33,Female,No,3209.55,,,,,,,,,,,3209.55
23921489,114.4,6.0,4.0,36.0,51,Male,No,16427.44,,,,,,,,,,,16427.44
22153601,114.4,5.0,3.0,17.0,55,Male,No,9572.55,,,,,,,,,,,9572.55
18211317,114.4,6.0,4.0,44.0,49,Male,No,21243.01,,,,,,,,,,,21243.01
5349406,114.3,8.0,1.0,23.0,31,Male,No,3647.57,,,,,,,,,,,3647.57
28414346,114.3,3.0,3.0,24.0,42,Female,No,10106.48,,,,,,,,,,,10106.48
7024081,114.3,6.0,3.0,31.0,51,Female,No,8276.08,,,,,,,,,,,8276.08
9917883,114.3,5.0,4.0,28.0,42,Female,No,10470.26,,,,,,,,,,,10470.26
2096007,114.3,3.0,1.0,31.0,44,Male,Yes,5195.41,,,,,,,,,,,5195.41
12174753,114.2,1.0,1.0,51.0,24,Female,No,19162.88,,,,,,,,,,,19162.88
2386886,114.2,4.0,4.0,30.0,37,Male,No,9745.56,,,,,,,,,,,9745.56
104457,114.1,1.0,0.0,3.0,66,Male,No,15931.08,,,,,,,,,,,15931.08
20449462,114.1,4.0,4.0,33.0,60,Male,No,3608.63,,,,,,,,,,,3608.63
19955465,114.1,5.0,1.0,4.0,61,Male,No,12179.21,,,,,,,,,,,12179.21
19476417,114.1,5.0,2.0,28.0,42,Male,No,13879.86,,,,,,,,,,,13879.86
8458998,113.9,8.0,4.0,57.0,35,Female,No,11667.77,,,,,,,,,,,11667.77
16958418,113.8,1.0,4.0,54.0,46,Male,No,18638.39,,,,,,,,,,,18638.39
5501938,113.8,5.0,1.0,51.0,52,Female,No,7770.60,,,,,,,,,,,7770.60
29617002,113.8,4.0,3.0,45.0,48,Male,No,10480.10,,,,,,,,,,,10480.10
20158147,113.7,7.0,4.0,11.0,26,Female,No,12517.22,,,,,,,,,,,12517.22
5772603,113.7,4.0,0.0,38.0,42,Male,No,3294.61,,,,,,,,,,,3294.61
15868037,113.7,5.0,3.0,48.0,25,Female,No,8512.13,,,,,,,,,,,8512.13
10118128,113.6,8.0,1.0,0.0,42,Male,No,10077.88,,,,,,,,,,,10077.88
12045288,113.5,3.0,3.0,14.0,48,Male,No,14607.59,,,,,,,,,,,14607.59
22789100,113.5,6.0,0.0,20.0,54,Male,No,13950.22,,,,,,,,,,,13950.22
9824189,113.5,3.0,5.0,54.0,52,Male,No,14710.89,,,,,,,,,,,14710.89
26818678,113.4,4.0,1.0,9.0,41,Male,No,11009.99,,,,,,,,,,,11009.99
26192535,113.4,3.0,2.0,56.0,64,Female,No,16458.76,,,,,,,,,,,16458.76
26242880,113.4,6.0,5.0,41.0,55,Female,No,10465.25,,,,,,,,,,,10465.25
14164853,113.4,4.0,2.0,16.0,60,Male,No,8467.70,,,,,,,,,,,8467.70
29424711,113.4,3.0,2.0,29.0,30,Female,No,11246.39,,,,,,,,,,,11246.39
17226889,113.3,6.0,4.0,15.0,62,Female,No,4548.68,,,,,,,,,,,4548.68
10353094,113.3,1.0,2.0,29.0,43,Female,No,5286.72,,,,,,,,,,,5286.72
